,Category,    Threat Event ,    Vulnerability ,    Asset ,    Consequence
2487,Session hijacking,    Attacker uses cross-site scripting (XSS) to steal session tokens from a webmail client,     Insecure webmail application,     User session,     Unauthorized access to email.
2488,Session hijacking,    Attacker hijacks a session by exploiting a browser vulnerability,     Outdated browser,     User device,     Full session compromise.
2489,Session hijacking,    Attacker uses session side-jacking to intercept unencrypted session tokens on a shared network,     Unencrypted traffic,     User session,     Complete session hijack.
2490,Session hijacking,    Attacker exploits session token storage in URL parameters to hijack a session,     Insecure session token storage,     Web application,     Full user impersonation.
2491,Kerberoasting,    Attacker requests service tickets (TGS) for Kerberos-enabled services to obtain service account hashes,     Unpatched Kerberos implementation,     Active Directory (AD),     Exposure of service account credentials.
2492,Kerberoasting,    Attacker exploits weak encryption on Kerberos service tickets to brute-force service account passwords,     Weak encryption algorithm,     Active Directory,     Full access to service accounts.
2493,Kerberoasting,    Attacker extracts and cracks Kerberos service tickets using offline tools,     Poor password complexity for service accounts,     Active Directory,     Compromise of privileged service accounts.
2494,Kerberoasting,    Attacker leverages a compromised user account to request service tickets for sensitive services,     Insufficient user access controls,     Active Directory,     Service account hash theft.
2495,Kerberoasting,    Attacker performs Kerberoasting to extract service ticket hashes for sensitive applications,     Weak Kerberos configuration,     AD services,     Access to high-privileged accounts.
2496,Kerberoasting,    Attacker uses Kerberoasting to crack the hash of a service account with administrative privileges,     Weak password policies,     Active Directory,     Full domain compromise.
2497,Kerberoasting,    Attacker performs Kerberoasting to identify weak service account passwords in the AD environment,     Poor password management,     AD infrastructure,     Privileged account compromise.
2498,Kerberoasting,    Attacker requests service tickets for outdated or unused Kerberos-enabled services,     Poor service lifecycle management,     Active Directory,     Service account hash exposure.
2499,Kerberoasting,    Attacker targets misconfigured Kerberos delegation settings to perform Kerberoasting,     Insecure delegation settings,     Active Directory,     Elevated access to sensitive services.
2500,Kerberoasting,    Attacker requests Kerberos service tickets for application servers to extract service account hashes,     Weak Kerberos encryption,     Application server,     Compromise of service credentials.
2501,Kerberoasting,    Attacker uses Kerberoasting to crack the password of a database service account,     Poor password complexity,     Database system,     Unauthorized database access.
2502,Kerberoasting,    Attacker exploits Kerberos ticket reuse to perform Kerberoasting against reused tickets,     Insecure ticket management,     Active Directory,     Access to sensitive service accounts.
2503,Kerberoasting,    Attacker requests tickets for high-value Kerberos services to perform Kerberoasting,     Weak encryption on high-privileged services,     Active Directory,     Privileged account compromise.
2504,Kerberoasting,    Attacker uses Kerberoasting to crack the password of a mail server service account,     Poor password complexity,     Mail server,     Full email system compromise.
2505,Kerberoasting,    Attacker targets service accounts with weak passwords via Kerberoasting,     Weak password policies,     Active Directory,     Service account compromise.
2506,Kerberoasting,    Attacker performs Kerberoasting to extract hashes of accounts with elevated privileges,     Misconfigured AD permissions,     Active Directory,     Compromise of domain admin accounts.
2507,Kerberoasting,    Attacker requests service tickets for administrative services via Kerberoasting,     Insufficient service ticket encryption,     Active Directory,     Elevated account compromise.
2508,Kerberoasting,    Attacker leverages Kerberoasting to crack the password of a web server service account,     Weak password policy,     Web server,     Full web server compromise.
